Row,Location,Years,start_date,end_date,lat,lon
1,BosworthRue,2016,2016-05-16,2016-10-13,39.025883,-121.533774
2,BosworthRue,2017,2017-05-23,2017-10-17,39.025883,-121.533774
3,BosworthRue,2018,2018-05-22,2018-10-20,39.025883,-121.533774
4,BosworthRue,2019,2019-06-03,2019-10-21,39.025883,-121.533774
5,BosworthRue,2020,2020-04-30,2020-09-28,39.025883,-121.533774
6,BosworthRue,2021,2021-04-30,2021-09-24,39.025883,-121.533774
7,BosworthRue,2022,2022-05-23,2022-09-29,39.025883,-121.533774
8,BosworthRue,2023,2023-05-24,2023-10-30,39.025883,-121.533774
9,Canal,2016,2016-04-23,2016-09-19,39.296727,-122.135116
10,Canal,2017,2017-05-03,2017-09-19,39.296727,-122.135116
11,Canal,2018,2018-05-03,2018-09-20,39.296727,-122.135116
12,Canal,2019,2019-05-03,2019-09-23,39.296727,-122.135116
13,Canal,2020,2020-05-19,2020-10-10,39.296727,-122.135116
14,Canal,2021,2021-04-21,2021-09-30,39.296727,-122.135116
15,Canal,2022,2022-04-21,2022-09-20,39.296727,-122.135116
16,Canal,2023,2023-05-26,2023-10-16,39.296727,-122.135116